שם,קטגוריה,תת-קטגוריה,אזור,גילאים,הקשר/ציטוט,מקור,טלפון_להוספה,אתר_להוספה
"עמותת קול הזכויות","ארגונים ועמותות","עמותה לזכויות ילדים עם צרכים מיוחדים","","all","הרצאת זום של עמותת קול הזכויות לילדים עם צרכים מיוחדים בנושא הזכויות הסיעודיות... ענבל צוקרון דמרי מנכלית העמותה","m:10189","",""
"עמותת קשר","ארגונים ועמותות","עמותה לסיוע למשפחות","ירושלים","הורים","עמותת קשר מעניקה לכם כלים אשר יאפשרו לכם להשתלב מחדש בתעסוקה, באמצעות קורסים מקוונים","chunk_015:m:53342","",""
"עמותת קשר — במיוחד בשבילכם","ארגונים ועמותות","תמיכה ופנאי למשפחות מיוחדות","ירושלים","","מחלקת שיקום בעיריית ירושלים וארגון קשר 'במיוחד בשבילכם' לכולם ובחינם! 'ביום שיגמרו המוסדות'","chunk_017:j:5959","",""
"עמותת שק""ל","ארגונים ועמותות","עמותת שיקום ושילוב","ארצי (ירושלים)","18+","שק""ל היא העמותה הראשונה שהציעה דיור כבר שנים רבות. הם מחזיקים דגמים שונים של דירות.","chunk_022:j:26293","",""
"פודקאסט 'על הרצף' — ד""ר רונית ולגרין","ארגונים ועמותות","פודקאסט — מידע להורים","אוניברסיטת רייכמן","all","פודקאסט חדש 'על הרצף' עלה לאפליקציות הפודקאסטים. אני, ד""ר רונית ולגרין ביחד עם ענת גרינבלום, אם לילד מאובחן על רצף האוטיזם ובחסות הרדיו הבינתחומי, באוניברסיטת רייכמן","m:11339","",""
"קבוצת הורים לאבחון מאוחר","ארגונים ועמותות","קבוצת תמיכה להורים","","parent support","הרשמה לקבוצת הורים לילדים בגילאי 17-25 שאובחנו מאוחר (החל מגיל 14)","m:6448","",""
"קואליציית הורים לילדים עם צרכים מיוחדים","ארגונים ועמותות","קואליציה לזכויות","","all","צוות קואליציית הורים לילדים עם צרכים מיוחדים. אנו מציעים לסייע לכם ולהעביר את הפרטים של ילדיכם למשרד החינוך כדי שיוכלו לתקן את המצב","m:646","",""
"תוכנית PreTech — קרן רשי ושותפים","ארגונים ועמותות","קרן מימון","ארצי","בוגרים","בתמיכת קרן רש""י, גוגל, משרד העבודה, קרן ביחד וקרן קראון","chunk_023 j:30072","",""
"בית ספר אפרתה - ירושלים","מסגרות חינוך","בית ספר דתי עם כיתת תקשורת / בית ספר יסודי ממ""ד / בית ספר חינוך מיוחד","ירושלים","יסודי","העדיפות הראשונה שלנו היא אפרתה, אך ביקשו שנביא עוד אופציות לעדיפות שניה","chunk_014:m49688","",""
"בית ספר ענבר","מסגרות חינוך","בית ספר / חטיבת ביניים / בית ספר עם כיתות מיוחדות","ירושלים","ילדים ונוער / חטיבת ביניים","לא ממליצה על ענבר כבית ספר לילדות עם קשיים. כמה וכמה תלמידות שלי עם סוגים שונים של קשיים לא קיבלו שם מענה.","chunk_011 m:39947","",""
"אוולינה דה רוטשילד - בית ספר תיכון","מסגרות חינוך","בית ספר תיכון / בית ספר עם כיתות תקשורת","ירושלים","תיכון / חטיבה ותיכון (ט'–י""ב)","חלוטין תפקוד גבוה אבל התמיכה כן נדרשת במהלך היום ולכיתת תקשורת יש תפקיד משמעותי גם חברתית. (באוולינה)","chunk_013:m45619","",""
"בית ספר אדם - ירושלים","מסגרות חינוך","בית ספר / בית ספר עם שילוב אישי","ירושלים","חטיבת ביניים / ילדים ומתבגרים","קיבלתי המלצה על בית ספר אדם, לגבי השילוב האישי","chunk_014:m49746","",""
"בית ספר אוולינה","מסגרות חינוך","בית ספר דתי מכיל / תיכון עם כיתות תקשורת","ירושלים","12-18 / י-יב (14-18)","אוולינה זה בית ספר בגישה דתית מאוד מקבלת... אוולינה בגדול זו מסגרת מכילה מאוד. יש מקום גם לחכמות מאוד וגם למתקשות והצוות וההנהלה גמישים ומכילים","m:16652","",""
"בית ספר המסורתי — ירושלים","מסגרות חינוך","תיכון עם כיתות תקשורת / בית ספר עם כיתת תקשורת","ירושלים","12-18 / חטיבת ביניים","אם בירושלים, ממליצה מאוד על התיכון המסורתי","chunk_018:j:10645","",""
"בית ספר מגשימים - חווה הנוער הציוני","מסגרות חינוך","בית ספר לאוטיסטים / בית ספר תיכון לחינוך מיוחד","חווה הנוער הציוני / ירושלים / חוות הנוער","גיל בית ספר / 12-21","בית ספר 'מגשימים' בחוות הנוער (לתפקוד בינוני ונמוך) בית ספר מספר אחת! הבת שלי התחילה שם כרגע שנה שביעית (זה עד גיל 21)","chunk_014:m49241","",""
"מרכז שלווה","מסגרות חינוך","מרכז חינוך מיוחד / דיור מוגן לבוגרים","ירושלים","ילדים / 18+","לגבי מרכז וראייטי, או שלווה, האם אלו מרכזים שפתוחים לפעילות חופשית/בחינם/בתשלום?","chunk_013:m45080","",""
"אוולינה","מסגרות חינוך","בית ספר ממ""ד לבנות","ירושלים","חטיבה ותיכון","נראה שיש רק באוולינה וגם שם לא בטוח שיש מקום","chunk_015:m:53312","",""
"אוניברסיטת אריאל — תוכנית שילוב","מסגרות חינוך","אוניברסיטה עם תוכנית שילוב","אריאל","18+","האם למישהי יש טלפון של התוכנית שילוב באוניברסיטת אריאל?","chunk_009:m33939","",""
"אלונים — בית ספר (ליווי תעסוקתי)","מסגרות חינוך","חינוך מיוחד","ירושלים","בני נוער","ביה""ס אלונים עובד עם אלווין שהוא סוג של זכיין. מציעה לפנות לאחראית תעסוקה בבית הספר ולהעלות את הנושא בפניה","chunk_023 j:30368","",""
"ביה""ס הניסויי","מסגרות חינוך","בית ספר ניסויי","ירושלים","י""ג","בזכות שיבוצה בכיתת תקשורת בבית הספר הניסויי בכיתה י""ג... הצליחה לעמוד בבחינות בשלוש מקצועות","chunk_015:m:52740","",""
"בית דניאלה — מסגרת יומית לנוער","מסגרות חינוך","מסגרת יומית לנוער / חווה טיפולית","ליד צור הדסה","נוער","אני מכירה אישית את המייסדת ומנהלת של בית דניאלה. נשים נפלאות שעושות עבודה קריטית עבור נוער. ממליצה בחום רב.","m:26560","",""
"בית הילדים","מסגרות חינוך","מסגרת חינוכית","ירושלים","גן ויסודי","הבנתי בזמנו ששם מטפלים יותר בשיטת ABA ושיש שילוב ממש בתוך הגן.","m:19884, m:19900","",""
"בית הספר לאומנויות — ירושלים","מסגרות חינוך","בית ספר תיכון עם כיתת תקשורת","ירושלים","י'–י""ב","הבן שלי בכיתת תקשורת באומנויות והם יודעים גם לשלב וגם לעבוד נכון בכיתת תקשורת.","m:30237","",""
"בית ספר אוולינה תהילה","מסגרות חינוך","בית ספר עם כיתת תקשורת","ירושלים","ילדים","ביה""ס אוולינה תהילה – כיתת תקשורת תפקוד גבוה. שילוב ורמה אקדמית גבוהה. הבחינה התורנית מאוד ליברלית וקלילה.","chunk_012 m:42358","",""
"בית ספר אומנויות","מסגרות חינוך","תיכון אומנויות עם כיתות תקשורת","ירושלים","12-18","הבן שלי כרגע באומנויות שם גם כיתות תקשורת טובות. מהניסיון שלנו שילוב בחטיבה מאוד מאתגר","m:12216","",""
"בית ספר אורות נווה יעקב","מסגרות חינוך","בית ספר עם כיתת תקשורת","נווה יעקב, ירושלים","ילדים","בית ספר אורות נווה יעקב","chunk_011 m:39423","",""
"בית ספר אלון שבות","מסגרות חינוך","בית ספר ממ""ד","אלון שבות, גוש עציון","יסודי","הילדים של הגוש גם מזרח וגם מערב לומדים רובם בבתי הספר במערב (באלון שבות, אפרת)","chunk_015:m:52812","",""
"בית ספר אפרתה","מסגרות חינוך","בית ספר דתי עם כיתת תקשורת","ירושלים","6-13","אפרתה בית ספר מהמם ועדיין גדול... אפרתה זה בית ספר דתי ליברלי מאוד... הבת שלי סיימה 6 שנים באפרתה,היתה בכיתה עם בנים","m:13199","",""
"בית ספר בית הכרם","מסגרות חינוך","בית ספר יסודי","ירושלים, בית הכרם","6-13","יש לי ניסיון מאוד עצוב עם בית הכרם. שני בתי הספר נחשבים לטובים... אנחנו ממש סבלנו בשילוב היחידני בבי""ס בית הכרם, למרות שהוא בי""ס מעולה","m:12116","",""
"בית ספר גאולים","מסגרות חינוך","בית ספר","ירושלים","ילדים ונוער","האם משהי מכירה את בית ספר גאולים?","chunk_011 m:38707","",""
"בית ספר הגימנסיה (העברית)","מסגרות חינוך","תיכון חילוני עם כיתות תקשורת","ירושלים","12-18","הבת שלי סיימה בגימנסיה והכיתות תקשורת שם נהדרות עם שילוב כמעט מלא... הניסיון שלנו עם הגימנסיה היה נהדר - למי שמתאים חינוך חילוני","m:12216","",""
"בית ספר הרטמן בנים","מסגרות חינוך","בית ספר דתי ליברלי עם כיתת תקשורת","ירושלים","12-18","יש כיתת תקשורת מצוינת בהרטמן בנים. בית ספר דתי ליברלי מאוד","m:13184","",""
"בית ספר זלמן ארן","מסגרות חינוך","בית ספר ממלכתי מכיל","ירושלים, תלפיות/ארנונה","6-13","בית ספר ממלכתי זלמן ארן שהפך לבית ספר מכיל השנה. הבת שלנו השתלבה שם לכיתה א ממש טוב בינתיים אחרי כמה שנים של גני תקשורת","m:12630","",""
"בית ספר חורב - ירושלים","מסגרות חינוך","בית ספר ממ""ד","ירושלים","גיל בית ספר","אם יש לביתך עיכוב לימודי ממליצה מאוד לבדוק את חורב","chunk_013:m45176","",""
"בית ספר טליה (בנות תקשורת, ממ""ד)","מסגרות חינוך","בית ספר ממ""ד לבנות","ירושלים","י-יב","יש כיתת תקשורת אחת של י-יב לבנות מחוננות/מצטיינות. הרבה מהזמן משולבות.","chunk_015:m:52215","",""
"בית ספר יובלים","מסגרות חינוך","בית ספר חינוך מיוחד","","12-18","הבת שלי היתה ביובלים וזה היה ממש בסדר. היא היתה שם כמעט 6 שנים... עם זה לשנה שנתיים עד שרגשית היא תהיה מוכנה זה טוב","m:12620","",""
"בית ספר יפה נוף","מסגרות חינוך","בית ספר משלב","ירושלים","6-13","בית ספר יפה נוף נחשב שנים למשלב... הבת שלנו היתה בבית ספר יפה נוף. זהו בית ספר משלב במהותו","m:12197","",""
"בית ספר לב הבוסתן","מסגרות חינוך","בית ספר חינוך מיוחד","קרית היובל, ירושלים","כל הגילאים","הבת הגדולה שלי לומדת בלב הבוסתן, אנחנו גרים באפרת.","m:19012, m:19015","",""
"בית ספר לוריא","מסגרות חינוך","בית ספר יסודי","קטמון, ירושלים","יסודי","הילדה לומדת בכיתה ב, בבית ספר לוריא, קטמון. מחפשים מישהו עם ניסיון טוב שיכול לעזור.","m:22163, m:18965","",""
"בית ספר לי""דה — כיתות תקשורת","מסגרות חינוך","בית ספר עם כיתת תקשורת","ירושלים","חטיבת ביניים","יש את 'לידה' — מומלץ מאוד אבל צריך להתחיל תהליך קבלה ארוך כי זה רק למחוננים ומצטיינים.","m:30260","",""
"בית ספר ניסוי — כיתת תקשורת","מסגרות חינוך","בית ספר יסודי","ירושלים","יסודי","איילת שנייר כיוונה אותי לבית ספר הניסוי שיש להם כיתה תקשורת.","m:22220","",""
"בית ספר נעורים","מסגרות חינוך","בית ספר כוללני לליקויי למידה","ירושלים","12-18","אחרי שנתיים של נועה בבית ספר נעורים (כוללני ליקויי למידה), בית ספר טוען שהוא מדבר בשפה שונה מבכיתות תקשורת","m:4840","",""
"בית ספר פולה בן גוריון","מסגרות חינוך","בית ספר יסודי עם כיתת תקשורת","ירושלים","6-13","שילוב מעולה עם ילדים בפולה בן גוריון שנחשב בית ספר 'לחוץ' || פונה בשם חברה שבתה בכתה א בתפקוד גבוה. שואלת לגבי בי""ס יסודי פולה בן גוריון","m:12196","",""
"בית ספר פלא","מסגרות חינוך","בית ספר","ירושלים","יסודי","הילד שלי לומד ב'פלא' ואני יכולה לענות לכל שאלה. אבל לפני שנתיים הפך להיות בית ספר אזורי — אז רלוונטי רק למי שגר קרוב.","m:22407, m:22445","",""
"בית ספר פרנקל","מסגרות חינוך","בית ספר ממלכתי חילוני עם כיתות משלבות","ירושלים, הגבעה הצרפתית","6-13","אנחנו חילונים ואני ממליצה מאוד על פרנקל בגבעה הצרפתית - יש שם כיתות משלבות קטנות (20 וקצת תלמידים) וצוות מדהים ומנוסה מאוד... בית ספר פרנקל ידוע מעל 30 שנה בשילוב ילדי תקשורת","m:12199","",""
"בית ספר קשת","מסגרות חינוך","בית ספר מיוחד","ירושלים","יסודי-תיכון","ב'קשת' יש כיתות נהדרות לתפקוד בינוני.","m:18600, m:22220","",""
"בית ספר קשת ירושלים","מסגרות חינוך","בית ספר יסודי ועל־יסודי משלב","ירושלים, ליד צומת פת / קטמונים","6-18","לתפקוד בינוני אני ממליצה מאוד על קשת. משלב דתי חילוני. השנה הבנות לומדות שלושה ימים יחד בכיתה דו גילאית","m:12101","",""
"בית ספר שירת חנן","מסגרות חינוך","בית ספר בגוש","גוש עציון","לא צוין","בשירת חנן בגוש הייתה בת אחת בכיתת תקשורת","chunk_015:m:52646","",""
"בית ספר תלי בית וגן","מסגרות חינוך","בית ספר משלב","ירושלים, בית וגן","6-13","יש לי ניסיון מעולה עם שילוב יחידני של שני ילדים בבית ספר תלי בית וגן. הגישה של בית הספר שמתחיל מההנהלה זה שילוב אמת","m:12195","",""
"בית ספר תלי גאולים","מסגרות חינוך","בית ספר לא דתי עם כיתת תקשורת","ירושלים","6-12","בבית ספר תלי גאולים, יש כיתת תקשורת בתפקוד גבוה שעולה לו' (אם את צריכה מסגרת לא דתית)","m:8543","",""
"גמנסיה העברית ירושלים — כיתות תקשורת","מסגרות חינוך","בית ספר תיכון עם כיתת תקשורת","ירושלים","חטיבה ותיכון","הגמנסיה — צוות מעולה, בית ספר גדול עם יתרון של מגוון מגמות רחב.","m:30260","",""
"גן קצנלסון (גן אביטל) — גן תקשורת","מסגרות חינוך","גן תקשורת","ירושלים","גיל גן","גן קצנלסון (אביטל) — גן תקשורת הכי טוב בירושלים!","m:22478","",""
"גן תקשורת חובה בכצנלסון - ירושלים","מסגרות חינוך","גן תקשורת","ירושלים","גן חובה","קיבלנו שיבוץ לגן תקשורת חובה בכצנלסון","chunk_013:m45384","",""
"גן תקשורת לופו","מסגרות חינוך","גן תקשורת","ירושלים","3-6","קיבלנו שיבוץ אפשרי לבת שלנו בגן תקשורת לופו או קצנלסון (צריך עוד להיפגש איתם לשיבוץ סופי)","m:1806","",""
"גן תקשורת קצנלסון","מסגרות חינוך","גן תקשורת","ירושלים","3-6","יש פה מישהו מהגן תקשורת בקצנלסון?... קיבלנו שיבוץ אפשרי לבת שלנו בגן תקשורת לופו או קצנלסון","m:9034","",""
"גני אלו""ט — גני תקשורת","מסגרות חינוך","גני תקשורת","ירושלים (ממלכתי וממ""ד)","3-6","לנו יש ניסיון מצוין עם הגנים של אלוט. בזמנו היו 8-10 גנים. לגני אלוט היתה מערכת תמיכה מקיפה שכללה מפגשים במרכז למשפחה","chunk_009:m33886","",""
"גני אלו""ט — ירושלים","מסגרות חינוך","גני תקשורת","ירושלים","גיל גן","גני אלו""ט בירושלים נותנים בעיני את המענה הכי מקיף בכל הארץ. יש שם ממש מעטפת טיפולית גם למשפחה.","m:19877, m:19894","",""
"גני ליפשיץ — גני תקשורת","מסגרות חינוך","גני תקשורת","ירושלים","3-6","גני ליפשיץ (דגש חזק על שילוב)","chunk_009:m33886","",""
"גני סולם — גני תקשורת חרדי","מסגרות חינוך","גני תקשורת","ירושלים","3-6","גני סולם (חרדי. Dir)","chunk_009:m33886","",""
"הוועדה לתיאום ואפיון – חינוך מיוחד","מסגרות חינוך","ועדה חינוכית","ארצי","ילדים ונוער (עד 21)","הוא לא יכול ללמוד בכיתת תקשורת אם לא עבר ועדת זכאות ואפיון עם אפיון אוטיזם.","chunk_020:j18818","",""
"ישיבת נועם","מסגרות חינוך","ישיבה דתית","","14-18","מי שכן צריך סיוע- לבנים יש בישיבת נועם שהיא מצויינת","m:13204","",""
"כיתת תקשורת בבית ספר ליד""ה - ירושלים","מסגרות חינוך","בית ספר עם כיתת תקשורת","ירושלים","חטיבת ביניים ותיכון","רק בליד""ה ובאומנויות הרגשתי שהייתה מחויבות לשילוב מלא של ילדי תקשורת ורצון אמיתי לקבל אותם","chunk_013:m45379-m45744","",""
"כיתת תקשורת — גן אוטיזם (גוש)","מסגרות חינוך","גן תקשורת","גוש עציון","3-6","פנו אלי מאלוט בבקשת עזרה למשפחה דוברת ספרדית שעלתה לארץ לאחרונה. למשפחה בן מאובחן שלומד כרגע בגן תקשורת בגוש","chunk_018:j:11002","",""
"ליד""ה (לימוד יחד)","מסגרות חינוך","תיכון חילוני עם כיתות תקשורת","ירושלים","12-18","ליד""ה - יש בכל הכיתות, בי""ס חילוני... צוות מעולה, שילוב בטווח של: שילוב מלא- כיתת תקשורת בלבד","m:17710","",""
"מגשימים — בית ספר","מסגרות חינוך","חינוך מיוחד","ירושלים","ילדים ונוער","בבית הספר של הבן שלי (מגשימים) יש להם כזה שירות [שיננית מאלווין]","chunk_023 j:30587","",""
"מדרשת הרובע","מסגרות חינוך","אולפנה דתית לאומית","ירושלים, הרובע היהודי","12-18","נראה לי שמדרשת הרובע יכולה להתאים לסגנון [דתי לאומי אולפניסטי]","m:9371","",""
"מכללת הדסה — תוכנית שילוב סטודנטים","מסגרות חינוך","מכללה עם תוכנית שילוב","ירושלים","18+","היועץ הסביר לה שזה טוב שהיא מציינת את זה ויש להן אפשרות להצמיד לסטודנט חונך מלווה במהלך השנה","chunk_009:m33401","",""
"ממ""ד הרובע","מסגרות חינוך","בית ספר ממלכתי דתי משלב","ירושלים, הרובע היהודי","6-13","אביטל הפנתה אותנו לממ""ד הרובע. היא עכשיו בכיתה ו', והיו לה שנים נהדרות. השילוב שם הוא באופן שהילד ממש לא מוחרג","m:13092","",""
"ממ""ד מקור חיים","מסגרות חינוך","בית ספר ממ""ד עם שילוב","מקור חיים, ירושלים","בית ספר יסודי","את הבאים שלחתי לממ""ד ושם מגיע הכל: סל, סייעת, הדרכה.","m:30076","",""
"מעון שיקומי","מסגרות חינוך","מעון יום שיקומי","ארצי","0-3","פעוט עד גיל 3 המבקר במעון יום שיקומי, זכאי להסעה עם ליווי למעון ובחזרה, לפי צרכיו","m:10709","",""
"מרכז וראייטי ירושלים","מסגרות חינוך","מרכז חינוך מיוחד","ירושלים","ילדים","אלה מקומות עם גני חינוך מיוחד ותוכניות טיפול שונות. לא מרכזי בילוי","chunk_013:m45084","",""
"מתי""א - מרכז תמיכה יישובי לאוכלוסייה","מסגרות חינוך","שירות פדגוגי","כפר סבא, רעננה, נתניה, שדות דרום השרון, חפר שרון","גיל בית ספר","צוותי איכות חיים ותוכניות מעבר - מתי""א כפר סבא, מת""יא רעננה, מתי""א נתניה","chunk_014:m48978","",""
"תוכנית שתילים / כיתת תקשורת דקלים","מסגרות חינוך","בית ספר ASD","","6-18","ביתי לומדת בבית ספר דקלים בו לימד אותו פדופיל שאנס ילדים חוששת מאד שביתי נפגע ממנו בהתקפי חרדה קשים","m:18090","",""
"תיכון אוניברסיטאי גבעה הצרפתית - ירושלים","מסגרות חינוך","תיכון עם כיתת תקשורת","גבעה הצרפתית, ירושלים","תיכון","הבת שלי בעברית תיכון אוניברסיטאי בגבעה הצרפתית מאוד מוצלח","chunk_014:m49214","",""
"תיכון אוניברסיטאי ירושלים","מסגרות חינוך","תיכון","ירושלים","תיכון (י-יב)","יש כיתת תקשורת עם מעטפת מושלמת, רוב היום משולבים בכיתה הגדולה, יש מקסימום 2 כיתות בכל שכבה","chunk_015:m:52674","",""
"תיכון ליד""ה — כיתת תקשורת","מסגרות חינוך","תיכון עם כיתת תקשורת","ירושלים","14-18","הבת שלי בתיכון ליד""ה בכיתת התקשורת","chunk_010:m35790","",""
"פרופ' יואב כהן","טיפולים ומטפלים","פרופסור מומחה (לא צוין תחום) / פסיכיאטר / פסיכיאטר לאבחון אוטיזם בבוגרים","ישראל","all / ילדים ומבוגרים / 18+","אנחנו ממליצים על פרופ' יואב כהן, הוא פסיכיאטר, נפגש איתנו ועם הבת שלנו (בת 32), וכתב מכתב מצוין.","m:14528","",""
"שירה שרשבסקי","טיפולים ומטפלים","קלינאית תקשורת","ירושלים / ישראל","all / ילדים / מתבגרים ומבוגרים","ממליצה מאוד על הקלינאית שירה שרשבסקי... אצל שירה היינו בעיקר למיומנויות חברתיות","m:13616","",""
"ד""ר דבורה באומן - רופאת נשים","טיפולים ומטפלים","רופאת נשים","רמות / ירושלים / ישראל","ילדות ונשים / נשים / גיל המעבר ומתבגרות","היי ממליצה על דבורה באומן במאוחדת. היא גם בכללית ד""ר באומן.","chunk_013:m45038","",""
"ד""ר זיווה לוריא","טיפולים ומטפלים","רופאת שיניים לאוטיסטים / רפואת שיניים לילדים","מבשרת ציון + קיבוץ צרעה / צרעה / מבשרת ציון / גבעת שאול — ירושלים","ילדים ובוגרים / ילדים","ד""ר זיווה לוריא. הגענו אליה אחרי שקיבלנו יחס מחפיר... היא הגיעה למצב שהבת שלי הלכה והולכת ברצון.","chunk_021:j:23871","",""
"ד""ר יעל גת קפלן — פסיכיאטרית","טיפולים ומטפלים","פסיכיאטרית ילדים / פסיכיאטרית","מבשרת ציון — קופת חולים מאוחדת / ירושלים","עד 18","לבנות אני ממליצה על דר' יעל גת קפלן. ראינו אותה המאוחדת במבשרת ציון. היינו צריכים לסיים כי הבת שלנו עברה את גיל שמונה עשרה","chunk_018:j:10414","",""
"ד""ר ערן לביא","טיפולים ומטפלים","פסיכיאטר / אנדוקרינולוגיה ילדים","הדסה / ירושלים / ירושלים + מרפאה פרטית","ילדים","ד""ר ערן לביא אנדוקרינולוג ילדים מעולה, מקבל גם בהדסה וגם במרפאה שלו","m:23003","",""
"ד""ר שלומית צפריר","טיפולים ומטפלים","פסיכיאטרית / אבחון פסיכיאטרי","מרכז 'בריאותה', מבשרת ציון","all / ילדים ונוער","אני ממליצה על שלומית צפריר כפסיכיאטרית שמאבחנת. מקבלת במרכז 'בריאותה' במבשרת ציון. איבחנה גם את הבת שלי.","m:14523","",""
"ד""ר שרית פייביש","טיפולים ומטפלים","רופאת שיניים / רפואת שיניים לילדים","ירושלים / הדסה","all / ילדים","יש רופאה מדהימה בירושלים ורגישה מאד!, עובדת הרבה עם ילדים עם צרכים מיוחדים גם בהדסה וגם במרפאה פרטית שלה. כמובן גם עם גז צחוק. ד""ר שרית פייביש","m:9858","",""
"מכון ארגמן","טיפולים ומטפלים","מכון למיניות ומוגנות / מכון טיפולי","תל אביב","10-18 / בוגרים","לאמהות שבנותיהן לקראת קבך הווסת... נעזרנו במכון ארגמן. העו""סית שלהם עשתה עבודה מעולה עד כדי כך שבתי קיבלה בפעם הראשונה בבוקר של הטיול השנתי... ממליצה בחום","m:15541","",""
"נורית רוזני – מטפלת DIR","טיפולים ומטפלים","טיפול ב-DIR / Floortime / פסיכולוגית","ישראל / ירושלים","ילדים","ממליצה בחום על נורית רוז'ני שעובדת עם מאוחדת. יכול להיות שאין אצלה מקום אך שווה לבדוק","chunk_012 m:42513","",""
"עמך","טיפולים ומטפלים","מרכז לבריאות הנפש / בריאות נפש","ירושלים – רחוב הלל / לא צוין","בוגרים","בארגון עמך שנותנים טיפולים בחינם כי הם הספק של כל הקופות חולים – יש אבחונים וגם טיפולים פסיכולוגים לצמי""ד כולל על הספקטרום, הכל בחינם.","chunk_019:j14442","",""
"תחנת החי""ש","טיפולים ומטפלים","תחנה להתפתחות הילד (עיריית י-ם) / תחנת בריאות הנפש","ירושלים / רח' החי""ש","3-12 / ילדים ומתבגרים","יש צוות טיפולי שמתמחה באוטיזם בתחנת אילן ברחוב החי""ש. נותן הדרכות הורים וטיפולים, מלווה את גני התקשורת... אם תהיו שנה הבאה בגן תקשורת של העיריה, תקבלו הדרכת הורים בתחנת החי""ש מצוות מעולה!!!!","m:668","",""
"Toni Eliashar Therapeutic Center","טיפולים ומטפלים","מרכז טיפולי","ישראל (זום)","לא צוין","Toni Eliashar Therapeutic Center is inviting you to a scheduled Zoom meeting. מיניות בקרב אנשים בוגרים בעלי צרכים מיוחדים עם יואב סידר.","chunk_021:j:22499","",""
"אדוה רגואן — מרפאה בעיסוק","טיפולים ומטפלים","ריפוי בעיסוק / וויסות חושי","ישראל","ילדים ומבוגרים","שמי אדוה, אני מרפאה בעיסוק המתמחה בעיבוד וויסות חושי אצל ילדים ומבוגרים.","m:29988","",""
"אחי""ש — תחנות לבריאות הנפש של הילד","טיפולים ומטפלים","בריאות נפש ילדים","ישראל","ילדים","תנסי לברר האם הגן מלווה על ידי אחת התחנות לבריאות הנפש של הילד והמתבגר, דוגמת אחי""ש","chunk_009:m32895","",""
