שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
בית ספר אוולינה,מסגרות חינוך,בית ספר דתי מכיל / תיכון עם כיתות תקשורת,12-18 / י-יב (14-18),ירושלים,,,אוולינה זה בית ספר בגישה דתית מאוד מקבלת... אוולינה בגדול זו מסגרת מכילה מאוד. יש מקום גם לחכמות מאוד וגם למתקשות והצוות וההנהלה גמישים ומכילים,m:16652,2
בית ספר אפרתה,מסגרות חינוך,בית ספר דתי עם כיתת תקשורת,6-13,ירושלים,,,"אפרתה בית ספר מהמם ועדיין גדול... אפרתה זה בית ספר דתי ליברלי מאוד... הבת שלי סיימה 6 שנים באפרתה,היתה בכיתה עם בנים",m:13199,1
בית ספר אפרתה - ירושלים,מסגרות חינוך,"בית ספר דתי עם כיתת תקשורת / בית ספר יסודי ממ""ד / בית ספר חינוך מיוחד",יסודי,ירושלים,,,"העדיפות הראשונה שלנו היא אפרתה, אך ביקשו שנביא עוד אופציות לעדיפות שניה",chunk_014:m49688,3
בית ספר בית איזי שפירא,מסגרות חינוך,בית ספר חינוך מיוחד,6-12,רעננה,09-7701222,https://beitissie.org.il/,"בית ספר עם יום ארוך וטיפולים פארה-רפואיים, חלק ממכלול בית איזי שפירא.",research:center,1
בית ספר יובלים,מסגרות חינוך,בית ספר חינוך מיוחד,12-18,,,,הבת שלי היתה ביובלים וזה היה ממש בסדר. היא היתה שם כמעט 6 שנים... עם זה לשנה שנתיים עד שרגשית היא תהיה מוכנה זה טוב,m:12620,1
בית ספר לב הבוסתן,מסגרות חינוך,בית ספר חינוך מיוחד,כל הגילאים,"קרית היובל, ירושלים",,,"הבת הגדולה שלי לומדת בלב הבוסתן, אנחנו גרים באפרת.","m:19012, m:19015",1
בית ספר איתן — אשקלון,מסגרות חינוך,בית ספר חינוך מיוחד כולל אוטיזם,6-21,אשקלון,ממתין לאימות,https://sites.google.com/tikshuv4sn.org.il/eitana/home,"בית ספר חינוך מיוחד 16 כיתות לאשקלון, קריית גת, קריית מלאכי, חוף אשקלון. כולל אוטיזם, מש""ה, נוירולוגיה. סנוזלן ובריכה טיפולית.",research:south,1
תיכון אורים — באר שבע,מסגרות חינוך,בית ספר חינוך מיוחד לאוטיזם והפרעות תקשורת,13-21 (ז'-יב'),באר שבע,08-6495923,https://sites.google.com/a/tikshuv4sn.org.il/urimbrs/about,"תיכון מחוזי לאוטיזם והפרעות תקשורת, ~105 תלמידים. רחוב דוד המלך 16, באר שבע. הוקם 2005.",research:south,1
בית ספר בית הכרם,מסגרות חינוך,בית ספר יסודי,6-13,"ירושלים, בית הכרם",,,"יש לי ניסיון מאוד עצוב עם בית הכרם. שני בתי הספר נחשבים לטובים... אנחנו ממש סבלנו בשילוב היחידני בבי""ס בית הכרם, למרות שהוא בי""ס מעולה",m:12116,1
בית ספר לוריא,מסגרות חינוך,בית ספר יסודי,יסודי,"קטמון, ירושלים",,,"הילדה לומדת בכיתה ב, בבית ספר לוריא, קטמון. מחפשים מישהו עם ניסיון טוב שיכול לעזור.","m:22163, m:18965",1
בית ספר ניסוי — כיתת תקשורת,מסגרות חינוך,בית ספר יסודי,יסודי,ירושלים,,,איילת שנייר כיוונה אותי לבית ספר הניסוי שיש להם כיתה תקשורת.,m:22220,1
בית ספר קשת ירושלים,מסגרות חינוך,בית ספר יסודי ועל־יסודי משלב,6-18,"ירושלים, ליד צומת פת / קטמונים",,,לתפקוד בינוני אני ממליצה מאוד על קשת. משלב דתי חילוני. השנה הבנות לומדות שלושה ימים יחד בכיתה דו גילאית,m:12101,1
בית ספר לי-אור,מסגרות חינוך,בית ספר יסודי לאוטיזם בתפקוד נמוך-בינוני,6-12,רעננה,,https://li-or.tik-tak.net/,"בית ספר יסודי ייעודי לכ-78 תלמידים עם אוטיזם בתפקוד בינוני ונמוך. גישה הוליסטית, יום ארוך, פעילות גם בחגים ובחופש הגדול.",research:center,1
בית ספר רעים — באר שבע,מסגרות חינוך,בית ספר יסודי לאוטיזם והפרעות תקשורת,6-13,באר שבע,ממתין לאימות,https://sites.google.com/a/tikshuv4sn.org.il/reim/about-the-school,"בית ספר יסודי חינוך מיוחד לתקשורת ואוטיזם. כיתות של 8 תלמידים, טיפולים פרא-רפואיים, שילוב חלקי בבתי""ס רגילים.",research:south,1
בית ספר פולה בן גוריון,מסגרות חינוך,בית ספר יסודי עם כיתת תקשורת,6-13,ירושלים,,,"שילוב מעולה עם ילדים בפולה בן גוריון שנחשב בית ספר 'לחוץ' || פונה בשם חברה שבתה בכתה א בתפקוד גבוה. שואלת לגבי בי""ס יסודי פולה בן גוריון",m:12196,1
בית ספר נעורים,מסגרות חינוך,בית ספר כוללני לליקויי למידה,12-18,ירושלים,,,"אחרי שנתיים של נועה בבית ספר נעורים (כוללני ליקויי למידה), בית ספר טוען שהוא מדבר בשפה שונה מבכיתות תקשורת",m:4840,1
בית ספר תלי גאולים,מסגרות חינוך,בית ספר לא דתי עם כיתת תקשורת,6-12,ירושלים,,,"בבית ספר תלי גאולים, יש כיתת תקשורת בתפקוד גבוה שעולה לו' (אם את צריכה מסגרת לא דתית)",m:8543,1
בית ספר מגשימים - חווה הנוער הציוני,מסגרות חינוך,בית ספר לאוטיסטים / בית ספר תיכון לחינוך מיוחד,גיל בית ספר / 12-21,חווה הנוער הציוני / ירושלים / חוות הנוער,,,בית ספר 'מגשימים' בחוות הנוער (לתפקוד בינוני ונמוך) בית ספר מספר אחת! הבת שלי התחילה שם כרגע שנה שביעית (זה עד גיל 21),chunk_014:m49241,2
בית ספר קשת,מסגרות חינוך,בית ספר מיוחד,יסודי-תיכון,ירושלים,,,ב'קשת' יש כיתות נהדרות לתפקוד בינוני.,"m:18600, m:22220",1
בית ספר אלון שבות,מסגרות חינוך,"בית ספר ממ""ד",יסודי,"אלון שבות, גוש עציון",,,"הילדים של הגוש גם מזרח וגם מערב לומדים רובם בבתי הספר במערב (באלון שבות, אפרת)",chunk_015:m:52812,1
בית ספר חורב - ירושלים,מסגרות חינוך,"בית ספר ממ""ד",גיל בית ספר,ירושלים,,,אם יש לביתך עיכוב לימודי ממליצה מאוד לבדוק את חורב,chunk_013:m45176,1
אוולינה,מסגרות חינוך,"בית ספר ממ""ד לבנות",חטיבה ותיכון,ירושלים,,,נראה שיש רק באוולינה וגם שם לא בטוח שיש מקום,chunk_015:m:53312,1
"בית ספר טליה (בנות תקשורת, ממ""ד)",מסגרות חינוך,"בית ספר ממ""ד לבנות",י-יב,ירושלים,,,יש כיתת תקשורת אחת של י-יב לבנות מחוננות/מצטיינות. הרבה מהזמן משולבות.,chunk_015:m:52215,1
"ממ""ד מקור חיים",מסגרות חינוך,"בית ספר ממ""ד עם שילוב",בית ספר יסודי,"מקור חיים, ירושלים",,,"את הבאים שלחתי לממ""ד ושם מגיע הכל: סל, סייעת, הדרכה.",m:30076,1
"ממ""ד הרובע",מסגרות חינוך,בית ספר ממלכתי דתי משלב,6-13,"ירושלים, הרובע היהודי",,,"אביטל הפנתה אותנו לממ""ד הרובע. היא עכשיו בכיתה ו', והיו לה שנים נהדרות. השילוב שם הוא באופן שהילד ממש לא מוחרג",m:13092,1
בית ספר פרנקל,מסגרות חינוך,בית ספר ממלכתי חילוני עם כיתות משלבות,6-13,"ירושלים, הגבעה הצרפתית",,,אנחנו חילונים ואני ממליצה מאוד על פרנקל בגבעה הצרפתית - יש שם כיתות משלבות קטנות (20 וקצת תלמידים) וצוות מדהים ומנוסה מאוד... בית ספר פרנקל ידוע מעל 30 שנה בשילוב ילדי תקשורת,m:12199,1
בית ספר זלמן ארן,מסגרות חינוך,בית ספר ממלכתי מכיל,6-13,"ירושלים, תלפיות / ארנונה",,,בית ספר ממלכתי זלמן ארן שהפך לבית ספר מכיל השנה. הבת שלנו השתלבה שם לכיתה א ממש טוב בינתיים אחרי כמה שנים של גני תקשורת,m:12630,1
בית ספר יפה נוף,מסגרות חינוך,בית ספר משלב,6-13,ירושלים,,,בית ספר יפה נוף נחשב שנים למשלב... הבת שלנו היתה בבית ספר יפה נוף. זהו בית ספר משלב במהותו,m:12197,1
בית ספר תלי בית וגן,מסגרות חינוך,בית ספר משלב,6-13,"ירושלים, בית וגן",,,יש לי ניסיון מעולה עם שילוב יחידני של שני ילדים בבית ספר תלי בית וגן. הגישה של בית הספר שמתחיל מההנהלה זה שילוב אמת,m:12195,1
בית ספר פסגות (ישוב פסגות),מסגרות חינוך,בית ספר משלב / תוכנית מיומנויות חברתיות,6-12 / ילדים / נוער / בוגרים,ישוב פסגות / מטה בנימין / ירושלים – בית הכרם; גם תל אביב,03-5288171,,"הבת שלי היתה בשנה ההיא משולבת בבית ספר פסגות בישוב פסגות שבמטה בנימין. היה יחסית טוב ובית ספר נהדר, רק שאין המשך אחר כך",m:21,2
"ביה""ס הניסויי",מסגרות חינוך,בית ספר ניסויי,"י""ג",ירושלים,,,"בזכות שיבוצה בכיתת תקשורת בבית הספר הניסויי בכיתה י""ג... הצליחה לעמוד בבחינות בשלוש מקצועות",chunk_015:m:52740,1
בית ספר אלון קרית ענבים/מעלה החמישה,מסגרות חינוך,בית ספר עם כיתות תקשורת,6-13,"קרית ענבים / מעלה החמישה, מטה יהודה",02-5341965,mazqirot2.alon@gmail.com,הבן שלי סיים בשנה שעברה שש שנים בכיתת תקשורת בבית ספר אלון. היה טוב מאוד... הצוות הפרה רפואי מעולה,m:12643,1
בית ספר אוולינה תהילה,מסגרות חינוך,בית ספר עם כיתת תקשורת,ילדים,ירושלים,,,"ביה""ס אוולינה תהילה – כיתת תקשורת תפקוד גבוה. שילוב ורמה אקדמית גבוהה. הבחינה התורנית מאוד ליברלית וקלילה.",chunk_012 m:42358,1
בית ספר אורות נווה יעקב,מסגרות חינוך,בית ספר עם כיתת תקשורת,ילדים,"נווה יעקב, ירושלים",,,בית ספר אורות נווה יעקב,chunk_011 m:39423,1
"בית ספר לי""דה — כיתות תקשורת",מסגרות חינוך,בית ספר עם כיתת תקשורת,חטיבת ביניים,ירושלים,,,יש את 'לידה' — מומלץ מאוד אבל צריך להתחיל תהליך קבלה ארוך כי זה רק למחוננים ומצטיינים.,m:30260,1
"כיתת תקשורת בבית ספר ליד""ה - ירושלים",מסגרות חינוך,בית ספר עם כיתת תקשורת,חטיבת ביניים ותיכון,ירושלים,,,"רק בליד""ה ובאומנויות הרגשתי שהייתה מחויבות לשילוב מלא של ילדי תקשורת ורצון אמיתי לקבל אותם",chunk_013:m45379-m45744,1
אוולינה דה רוטשילד - בית ספר תיכון,מסגרות חינוך,בית ספר תיכון / בית ספר עם כיתות תקשורת,"תיכון / חטיבה ותיכון (ט'–י""ב)",ירושלים,,,חלוטין תפקוד גבוה אבל התמיכה כן נדרשת במהלך היום ולכיתת תקשורת יש תפקיד משמעותי גם חברתית. (באוולינה),chunk_013:m45619,2
בית הספר לאומנויות — ירושלים,מסגרות חינוך,בית ספר תיכון עם כיתת תקשורת,"י'–י""ב",ירושלים,,,הבן שלי בכיתת תקשורת באומנויות והם יודעים גם לשלב וגם לעבוד נכון בכיתת תקשורת.,m:30237,1
גמנסיה העברית ירושלים — כיתות תקשורת,מסגרות חינוך,בית ספר תיכון עם כיתת תקשורת,חטיבה ותיכון,ירושלים,,,"הגמנסיה — צוות מעולה, בית ספר גדול עם יתרון של מגוון מגמות רחב.",m:30260,1
בית ספר גוונים — אשדוד,מסגרות חינוך,בית ספר תקשורת ואוטיזם,6-21,אשדוד,08-9170780,https://gvanim-school.co.il/,"בית ספר חינוך מיוחד לתקשורת ואוטיזם. אפרסק 8, אשדוד. כולל פרויקט חממה לתעסוקה. הוקם 2015.",research:south,1
רשת שתילים בית ספר תקשורת לבנות,מסגרות חינוך,בית ספר תקשורת לבנות בלבד,6-18,ירושלים,054-8490123,,"רשת שתילים פותחת בעזרת ה' בשנה הבאה, בית ספר תקשורת לבנות בלבד לכל רמות התפקוד! בירושלים! ליסה, מנהלת ביה""ס 054-8490123",m:14704,1
בית ספר בנימין רוטמן — אשל הנשיא,מסגרות חינוך,בית ספר תקשורת תיכון לאוטיזם בתפקוד גבוה,13-21,אשל הנשיא (בין באר שבע לאופקים),ממתין לאימות,https://www.eshelnet.com/?page_id=4217,"בית ספר ייחודי לנוער על הרצף בתפקוד בינוני-גבוה וגבוה, בכפר נוער אשל הנשיא. שילוב עם תיכון רגיל. בניין חדש 2022.",research:south,1
גן קצנלסון (גן אביטל) — גן תקשורת,מסגרות חינוך,גן תקשורת,גיל גן,ירושלים,,,גן קצנלסון (אביטל) — גן תקשורת הכי טוב בירושלים!,m:22478,1
גן תקשורת חובה בכצנלסון - ירושלים,מסגרות חינוך,גן תקשורת,גן חובה,ירושלים,,,קיבלנו שיבוץ לגן תקשורת חובה בכצנלסון,chunk_013:m45384,1
גן תקשורת לופו,מסגרות חינוך,גן תקשורת,3-6,ירושלים,,,קיבלנו שיבוץ אפשרי לבת שלנו בגן תקשורת לופו או קצנלסון (צריך עוד להיפגש איתם לשיבוץ סופי),m:1806,1
גן תקשורת קצנלסון,מסגרות חינוך,גן תקשורת,3-6,ירושלים,,,יש פה מישהו מהגן תקשורת בקצנלסון?... קיבלנו שיבוץ אפשרי לבת שלנו בגן תקשורת לופו או קצנלסון,m:9034,1
כיתת תקשורת — גן אוטיזם (גוש),מסגרות חינוך,גן תקשורת,3-6,גוש עציון,,,פנו אלי מאלוט בבקשת עזרה למשפחה דוברת ספרדית שעלתה לארץ לאחרונה. למשפחה בן מאובחן שלומד כרגע בגן תקשורת בגוש,chunk_018:j:11002,1
גן תקשורת — ארמון הנציב,מסגרות חינוך,גן תקשורת לגיל הרך,גיל גן,"ארמון הנציב, ירושלים",053-7006197,,דרושות גננות/סטודנטיות לקייטנת קיץ בגן תקשורת מתוק בארמון הנציב. ילדים מקסימים ומתוקים בתפקוד בינוני-גבוה.,m:26593,1
"גני אלו""ט — גני תקשורת",מסגרות חינוך,גני תקשורת,3-6,"ירושלים (ממלכתי וממ""ד)",,,לנו יש ניסיון מצוין עם הגנים של אלוט. בזמנו היו 8-10 גנים. לגני אלוט היתה מערכת תמיכה מקיפה שכללה מפגשים במרכז למשפחה,chunk_009:m33886,1
"גני אלו""ט — ירושלים",מסגרות חינוך,גני תקשורת,גיל גן,ירושלים,,,"גני אלו""ט בירושלים נותנים בעיני את המענה הכי מקיף בכל הארץ. יש שם ממש מעטפת טיפולית גם למשפחה.","m:19877, m:19894",1
גני ליפשיץ — גני תקשורת,מסגרות חינוך,גני תקשורת,3-6,ירושלים,,,גני ליפשיץ (דגש חזק על שילוב),chunk_009:m33886,1
גני סולם — גני תקשורת חרדי,מסגרות חינוך,גני תקשורת,3-6,ירושלים,,,גני סולם (חרדי. Dir),chunk_009:m33886,1
"גני תקשורת רמת גן (מתי""א)",מסגרות חינוך,גני תקשורת ובית ספר משלב,3-13,רמת גן,03-6753333,https://matyaramatgan.tik-tak.net/,"מתי""א רמת גן מנהל 45 גני חינוך מיוחד וכ-82 כיתות ייעודיות בבתי ספר רגילים, כולל כיתות לתלמידים עם קושי ברצף התקשורתי.",research:center,1
"גני תקשורת אלו""ט תל אביב",מסגרות חינוך,גני תקשורת לאוטיזם,3-7,תל אביב,03-5718188,https://alut.org.il/services/kindergartens/,47 גני תקשורת בתל אביב במודל אשכולי חדש. 5-8 ילדים בכל גן עם תוכנית טיפולית-חינוכית אישית.,research:center,1
מרכז סולם בית שמש,מסגרות חינוך,"גנים, יסודי, ישיבה — מותאם חרדי",0-21,בית שמש,1599-550-440,https://www.sulam.net/,"מרכז סולם בבית שמש — מעון יום שיקומי, גני תצפית, גני תקשורת, יסודי וישיבה לתלמידים על הרצף בקהילה החרדית. אופציה ראלית לתושבי בית""ר וגוש עציון.",research:judea-samaria,1
הדרכת אוטיזם 1 על 1 — קורס לאמהות ומטפלים,מסגרות חינוך,הדרכה מקצועית,,מקוון,,https://accord.ravpage.co.il/autism101-sale,בחודש מאי אקיים וובינר בנושא אוטיזם אצל בנות. לפרטים על קורס 'אוטיזם 1 על 1',chunk_018:j:11379,1
תוכנית אודיסיאה לנוער — המרכז האוניברסיטאי לנוער בבר-אילן,מסגרות חינוך,הכנה לאקדמיה,נוער,רמת גן,,https://noar.biu.ac.il/odyssey-program,תוכנית מדעית-אקדמית לנוער מצטיין. שומרת לקלוט גם נוער על הרצף בתפקוד גבוה עם עניין במדעים. מפעילה 'תכנית הכוכבים' לנוער עם צרכים מיוחדים.,web-research: https://noar.biu.ac.il/odyssey-program,1
הוועדה לתיאום ואפיון – חינוך מיוחד,מסגרות חינוך,ועדה חינוכית,ילדים ונוער (עד 21),ארצי,,,הוא לא יכול ללמוד בכיתת תקשורת אם לא עבר ועדת זכאות ואפיון עם אפיון אוטיזם.,chunk_020:j18818,1
תיכון דקל וילנאי מעלה אדומים,מסגרות חינוך,"חט""ב עם כיתת תקשורת",12-15,מעלה אדומים,,https://youtu.be/WciZj4-3Uls,"פרוייקט מדהים ומשמעותי שהפקנו בכיתת תקשורת בביהס שלי- חט״ב דקל וילנאי מעלה אדומים, שמטרתו הגברת המודעות לאוטיזים",m:17167,1
אלונים — בית ספר (ליווי תעסוקתי),מסגרות חינוך,חינוך מיוחד,בני נוער,ירושלים,,,"ביה""ס אלונים עובד עם אלווין שהוא סוג של זכיין. מציעה לפנות לאחראית תעסוקה בבית הספר ולהעלות את הנושא בפניה",chunk_023 j:30368,1
מגשימים — בית ספר,מסגרות חינוך,חינוך מיוחד,ילדים ונוער,ירושלים,,,בבית הספר של הבן שלי (מגשימים) יש להם כזה שירות [שיננית מאלווין],chunk_023 j:30587,1
ישיבת נועם,מסגרות חינוך,ישיבה דתית,14-18,,,,מי שכן צריך סיוע- לבנים יש בישיבת נועם שהיא מצויינת,m:13204,1
בית יעקב נוה בת שבע — כיתה מקדמת,מסגרות חינוך,כיתה מקדמת,6-7,"נווה יעקב, ירושלים",0527605967,,"נפתחת כנראה בלי נדר ב""ה כתת תקשורת לבנות כתה ב' מטעם מועצת גוש עציון",chunk_010:m35747,1
חטיבת ביניים 'אור' — צור הדסה,מסגרות חינוך,כיתת תקשורת בחינוך מיוחד,חטיבת ביניים,צור הדסה,0543307935,,"לשנה""ל הבאה אנחנו מחפשים בת שירות לאומי לעבודה בכיתת תקשורת בחטיבת הביניים 'אור' בצור הדסה.",m:26487,1
מכינה / כיתה לגוש (בית שמש) למתבגרות,מסגרות חינוך,כיתת תקשורת לבנות ASD,12-15,בית שמש,054-5597624,,כיתת תקשורת לבנות עם ASD. קבוצת הורים פועלת לפתיחת כיתת תקשורת דתית. בבית שמש. סוג חינוך: אולפנה. חנה: 054-5597624,m:14894,1
תוכנית כפיר — קריית אונו,מסגרות חינוך,לימודים אקדמיים מותאמים,18+,קריית אונו,050-305-5730,https://www.ono.ac.il/curriculum/the-kfir-program,נפתחה ההרשמה לתכנית 'כפיר' - תכנית המאפשרת לאנשים מהמגוון האוטיסטי ללמוד תואר באחת מהתמחויות הפקולטה למנהל עסקים עם מעטפת ליווי ותמיכה,chunk_017:j:6577,1
מכללת הדסה — תוכנית שילוב סטודנטים,מסגרות חינוך,מכללה עם תוכנית שילוב,18+,ירושלים,,,היועץ הסביר לה שזה טוב שהיא מציינת את זה ויש להן אפשרות להצמיד לסטודנט חונך מלווה במהלך השנה,chunk_009:m33401,1
ALEH — בית ספר ייחודי לקויות חמורות,מסגרות חינוך,מסגרת חינוך מיוחד למוגבלות מורכבת,1-21,בני ברק + ארצי,08-9740888,https://aleh.org/,ALEH מספק שירותי דיור וחינוך לילדים עם מוגבלות מורכבת כולל אוטיזם בתפקוד נמוך.,research:center,1
בית הילדים,מסגרות חינוך,מסגרת חינוכית,גן ויסודי,ירושלים,,,הבנתי בזמנו ששם מטפלים יותר בשיטת ABA ושיש שילוב ממש בתוך הגן.,"m:19884, m:19900",1
בית דניאלה — מסגרת יומית לנוער,מסגרות חינוך,מסגרת יומית לנוער / חווה טיפולית,נוער,ליד צור הדסה,,,אני מכירה אישית את המייסדת ומנהלת של בית דניאלה. נשים נפלאות שעושות עבודה קריטית עבור נוער. ממליצה בחום רב.,m:26560,1
